"X.CS76347.","X.42.8."
"CS76347","42.8"
"CS76347","63.9"
"CS76347","7"
"CS76347","61.8"
"CS76347","35.1"
"CS76347","50.1"
"CS76347","1.4"
"CS76347","4.8"
"CS76347","4.2"
"CS76347","26.4"
"CS76347","47.9"
"CS76347","65.5"
"CS76347","26.8"
"CS76347","36.4"
"CS76347","107"
"CS76347","40.3"
"CS76347","36.6"
"CS76347","7.8"
"CS76347","3.4"
"CS76347","11.9"
"CS76347","33.5"
"CS76347","55"
"CS76347","59.1"
"CS76347","20"
"CS76347","63.5"
"CS76347","39"
"CS76347","66.1"
"CS76347","92.3"
"CS76347","46.1"
"CS76347","64.8"
"CS76347","3.2"
"CS76347","5.8"
"CS76347","0.8"
"CS76347","45.3"
"CS76347","40.2"
"CS76347","57"
"CS76347","9.1"
"CS76347","6.5"
"CS76347","46.7"
"CS76347","19"
"CS76347","33"
"CS76347","34.7"
"CS76347","0.9"
"CS76347","4.2"
"CS76347","20.5"
"CS76347","5"
"CS76347","73.7"
"CS76347","39.4"
"CS76347","21.6"
"CS76347","5.7"
"CS76347","104"
"CS76347","69.7"
"CS76347","83.8"
"CS76347","37.1"
"CS76347","2.4"
"CS76347","5.3"
"CS76347","68.5"
"CS76347","53.1"
"CS76347","72.6"
"CS76347","53.8"
"CS76347","63.3"
"CS76347","75.3"
"CS76347","32.8"
"CS76347","95.4"
"CS76347","118.7"
"CS76347","6.4"
"CS76347","3.3"
"CS76347","3.4"
"CS76347","4.1"
"CS76347","3"
"CS76347","38.8"
"CS76347","67.8"
"CS76347","59"
"CS76347","29"
"CS76347","35.4"
"CS76347","122.7"
"CS76347","10.9"
"CS76347","13.3"
"CS76347","1.9"
"CS76347","2.1"
"CS76347","11.9"
"CS76347","1.1"
"CS76347","35.7"
"CS76347","58.1"
"CS76347","59.1"
"CS76347","66.1"
"CS76347","44.1"
"CS76347","98.6"
"CS76347","23.7"
"CS76347","40.3"
"CS76347","3.2"
"CS76347","13.3"
"CS76347","47.1"
"CS76347","99.6"
"CS76347","65"
"CS76347","44.5"
"CS76347","13"
"CS76347","25.4"
"CS76347","43.8"
"CS76347","5.9"
"CS76347","56.8"
"CS76347","2.7"
"CS76347","1.3"
"CS76347","1.6"
"CS76347","16.4"
"CS76347","38.3"
"CS76347","65.5"
"CS76347","30.1"
"CS76347","13"
"CS76347","58.1"
"CS76347","42.7"
"CS76347","124.2"
"CS76347","101.7"
"CS76347","25.8"
"CS76347","2.5"
"CS76347","3.4"
"CS76347","37.1"
"CS76347","69.8"
"CS76347","68.9"
"CS76347","49"
"CS76347","20.3"
"CS76347","65"
