"","CS_number","latitude","longitude"
"1","CS76347",31.48,-7.45
"2","CS76350",46.6297,10.817
"3","CS76351",46.2543,11.167
"4","CS76352",46.36,11.23
"5","CS76353",46.3716,11.2376
"6","CS76354",46.366,11.2832
"7","CS76355",46.3378,11.2928
"8","CS76356",46.3378,11.2928
"9","CS76357",46.513,11.331
"10","CS76358",46.513,11.331
"11","CS76359",41.62,12.87
"12","CS76360",41.62,12.87
"13","CS76361",40.28,15.65
"14","CS76362",38.62,16.17
"15","CS76364",38.38,16.22
"16","CS76365",38.36,16.23
"17","CS76366",38.76,16.24
"18","CS76367",39.18,16.26
"19","CS76368",39.01,16.47
"20","CS76369",44.84,20.16
"21","CS76370",44.34,21.46
"22","CS76372",41.59,25.2
"23","CS76373",44.46,25.74
"24","CS76374",53.33,49.48
"25","CS76375",53.33,49.48
"26","CS76376",51.31,57.56
"27","CS76377",54.09,60.46
"28","CS76378",54.06,60.48
"29","CS76379",41.45,70.05
"30","CS76380",41.45,70.05
"31","CS76381",41.45,70.05
"32","CS76382",37.29,71.3
"33","CS76383",51.33,82.19
"34","CS76384",51.32,82.55
"35","CS76385",51.3333,82.5667
"36","CS76387",38.6536,48.7992
"37","CS76388",38.7406,48.6131
"38","CS76389",38.9786,48.5594
"39","CS76390",41.8296,46.2831
"40","CS76391",41.2381,46.3728
"41","CS76392",41.7942,43.4767
"42","CS76394",39.8692,45.3622
"43","CS76395",44.6419,34.3814
"44","CS76398",38.6425,42.2394
"45","CS76400",48.43,8.82
"46","CS76402",48.52,8.8
"47","CS76403",48.53,9.06
"48","CS76404",48.14,9.4
"49","CS76405",48.53,9.04
"50","CS76406",48.56,9.16
"51","CS76407",48.52,9.05
"52","CS76409",41.32,-1.34
"53","CS76410",39.73,-5.74
"54","CS76411",36.83,-6.36
"55","CS76412",40.92,-8.54
"56","CS76413",41.8,-3.11
"57","CS76414",38.92,-6.34
"58","CS76415",40.74,-3.9
"59","CS76416",41.05,-3.54
"60","CS76417",42.69,-6.93
"61","CS76418",42.63,0.76
"62","CS76419",41.43,23.65
"63","CS76420",46.11,21.95
"64","CS76423",40.57,15.32
"65","CS76424",39.27,16.27
"66","CS76425",40.18,16.45
"67","CS76428",50.9167,9.57073
"68","CS76429",57.1539,-2.2207
"69","CS76430",45,1.3
"70","CS76431",48.0683,7.62551
"71","CS76432",54.8,-2.4333
"72","CS76433",47.75,88.4
"73","CS76434",53.448,5.73
